Year,Foodgrains(cereals) - Rice,Foodgrains(cereals) - Wheat,Foodgrains(cereals) - Jowar,Foodgrains(cereals) - Bajra,Foodgrains(cereals) - Maize,Foodgrains(cereals) - Ragi,Foodgrains(cereals) - Small millets,Foodgrains(cereals) - Barley,Foodgrains(cereals) - Total cereals,Foodgrains(pulses) - Tur,Foodgrains(pulses) - Gram,Foodgrains(pulses) - Other pulses,Foodgrains(pulses) - Total pulses,Total Food - grains,Oilseeds - Groundnuts,Oilseeds - Sesamum,Oilseeds - Rapeseed & mustard,Oilseeds - Linseed,Oilseeds - Casterseed,Oilseeds - Total oilseeds,Cotton,Jute,Mesta,Tea,Coffee,Rubber,Banana (MT/ha),Sugar -  cane,Tobacco,Potatoes (MT/ha),Pepper (black),Chillies,Ginger,Coconut,Turmeric
2001-02,20.8,27.6,7.7,8.7,20,14.4,4.4,21.6,19.8,6.8,8.5,4.6,6.1,17.3,11.3,4.2,10,3.9,9.1,9.1,1.9,21.8,62.8,16.8,9.4,15.7,26.9,673.7,15.7,19.8,2.8,12.1,35.3,67.1,33.7
2002-03,17.4,26.1,7.5,6.1,16.8,9.3,3.8,20.1,17.5,6.5,7.2,4.2,5.4,15.3,6.9,3.1,8.5,3.9,7.3,6.9,1.9,21.4,58.6,16.4,8.6,15.9,26,635.8,15.3,17.3,3.2,10.8,31.8,65.2,34.8
2003-04,20.8,27.1,7.2,11.4,20.4,11.8,4.7,19.8,19.8,6.7,8.1,5.3,6.4,17.3,13.6,4.6,11.6,4.1,11.1,10.6,3.1,21.7,60.2,16.9,8.3,16.6,29.2,593.9,14.9,17.9,3.1,16,35.5,63,37.6
2004-05,19.8,26,8,9.6,19.1,15.7,4.3,19.6,19,6.7,8.1,4.2,5.8,16.5,10.2,3.7,10.4,3.8,10.7,8.8,3.2,20.6,61.6,17.4,8.3,17,29,647.5,15,17.9,3.2,16.1,37.7,66.3,45.2
2005-06,21,26.2,8.8,8,19.4,15.3,4.4,19.4,19.7,7.6,8.1,4.2,6,17.2,11.9,3.7,11.2,4,11.5,10,3.6,23.6,11.4,17.1,8,18,28.6,669.2,14.8,17.1,3.6,15.5,35.4,76.1,49.5
2006-07,21.3,27.1,8.4,8.9,19.1,12.3,4.7,20.5,20.2,6.5,8.5,4.6,6.1,17.6,8.7,3.6,11,3.9,12.1,9.2,4.2,23.4,12.1,17.2,8.4,18.8,34.8,690.2,14.1,14.9,2.8,16.3,37.1,81.8,44.1
2007-08,22,28,10.2,10.4,23.4,15.5,5.3,19.8,21.5,8.3,7.6,4.8,6.2,18.6,14.6,4.2,10,3.5,9.2,11.2,4.7,22.6,12.2,17.1,7.6,18,36.2,688.8,14.2,19.3,2.4,16.1,36.8,77.5,45.3
2008-09,21.8,29.1,9.6,10.2,24.1,14.8,4.9,23.9,21.8,6.7,8.9,4.8,6.6,19.1,11.6,3.5,11.4,4.2,13.5,10.1,4,22.1,11.4,16.8,7.5,18.7,34.4,645.5,14.6,18.8,2,16.3,35,52.3,45.4
2009-10,21.3,28.4,8.6,7.3,20.2,14.9,4.6,21.7,20.8,7.1,9.2,4.1,6.3,18,9.9,3,11.8,4.5,13.7,9.6,4,24.9,11.2,17.1,8.2,17.8,34.4,700.2,15.6,19.9,2.6,15.7,35.8,57.1,43.8
2010-11,22.4,29.9,9.5,10.8,25.4,17.1,5.5,23.6,22.6,6.6,9,5.6,6.9,19.3,14.1,4.3,11.9,4.1,15.3,11.9,5,23.3,11.2,16.7,8.4,18.1,35.9,700.9,17.9,22.7,2.8,15.4,47.1,57.2,50.9
2011-12,23.9,31.8,9.6,11.7,24.8,16.4,5.7,25.2,24.2,6.6,9.3,5.5,7,20.8,13.2,4.3,11.2,4.7,15.6,11.3,4.9,23.9,12.5,18.9,8.5,18.4,35.7,716.7,16.1,21.8,2.1,15.9,48.8,72.1,53.3
2012-13,24.6,31.2,8.5,12,25.7,13.9,5.8,25.2,24.5,7.8,10.4,6,7.9,21.3,9.9,4,12.6,5,15.9,11.7,4.9,24,12.4,19.6,8.5,18.1,34.2,682.5,15.4,22.8,4.2,16.4,50.2,73,50.1
2013-14,24.2,31.5,9.6,11.8,26.8,16.6,6.3,27.2,24.6,8.1,9.6,5.8,7.6,21.2,17.6,4.3,11.9,4.8,16.2,11.7,5.1,26.4,13.4,21.4,8,14.9,37,705.2,18.1,21.1,4.1,19.3,49.2,69.7,51.1
2014-15,23.9,27.5,8.8,12.6,26.3,17.1,6.5,23.2,23.3,7.3,8.9,6.1,7.3,20.3,15.5,4.7,10.8,5.4,17.2,10.8,4.6,25.5,15.3,21.1,8.5,NA,33.3,715.1,NA,22.2,4.4,19.3,51,71.6,45.1
2015-16(A E),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.76 P,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
