States/ UTs,2013-14,2014-15,2015-16
Uttar Pradesh,134688.6,133061.4,145385
Maharashtra,76901,84699,73679.6
Karnataka,37905,43776,37833.8
Tamil Nadu,32454.1,28092.8,25494.1
Bihar,12881.8,14034.1,12649.3
Gujarat,12550,14330,11120
Andhra Pradesh,12008.8,9987,9353
Haryana,7499,7169,6692
Punjab,6675,7039,6607
Uttarakhand,5939.8,6165.1,5885.8
Madhya Pradesh,3173.7,4567,5281
Telangana,3376.2,3343,2405
West Bengal,1945,2105.5,2075
Assam,1075.2,1099.1,1038.3
Jharkhand,462.8,469.8,708.9
Odisha,936.5,722.9,577.2
Rajasthan,362.9,408.9,531.3
Manipur,339.3,339.3,348
Pondicherry,304.1,317,214
Others,663.1,607,570.4
Total,352141.9,362332.9,348448.7
